"Region","Year","Month","Day","EVI"
"V","2005","04","03",0.0793541880487513
"I","2005","04","04",0.287330798085062
"IIA","2005","04","04",0.421387088411572
"IIB","2005","04","04",0.326761622875447
"III","2005","04","04",0.246382375902046
"IV","2005","04","04",0.219839810952371
"V","2005","04","04",0.106765404978841
"I","2005","04","05",0.19154724610146
"IIA","2005","04","05",0.233808031028381
"IIB","2005","04","05",0.1555265642143
"III","2005","04","05",0.194313167817735
"IV","2005","04","05",0.239894810006951
"V","2005","04","05",0.134484549186901
"I","2005","04","06",0.464429341013243
"IIA","2005","04","06",0.193437343189662
"IIB","2005","04","06",0.299875960417589
"III","2005","04","06",0.284255875055575
"IV","2005","04","06",0.27940840002884
"V","2005","04","06",0.195534881394794
"I","2005","04","07",0.280845050443331
"IIA","2005","04","07",0.344688271014427
"IIB","2005","04","07",0.291126775652404
"III","2005","04","07",0.301563844024619
"IV","2005","04","07",0.314926116388566
"V","2005","04","07",0.229338531224151
"I","2005","04","08",0.142733401837775
"IIA","2005","04","08",0.312531996271774
"IIB","2005","04","08",0.223906799234105
"III","2005","04","08",0.248768917826817
"IV","2005","04","08",0.241966334219503
"V","2005","04","08",0.144177786203612
"I","2005","04","09",0.362656740023216
"IIA","2005","04","09",0.304726151802972
"IIB","2005","04","09",0.308768532687284
"III","2005","04","09",0.323922700692408
"IV","2005","04","09",0.339841773449856
"V","2005","04","09",0.256076674902005
"I","2005","04","10",0.262381717022974
"IIA","2005","04","10",0.291688829655896
"IIB","2005","04","10",0.276708278869908
"III","2005","04","10",0.271074195644299
"IV","2005","04","10",0.269554443087201
"V","2005","04","10",0.219783608627855
"I","2005","04","11",0.419477589793686
"IIA","2005","04","11",0.386340833175575
"IIB","2005","04","11",0.355998957054511
"III","2005","04","11",0.363260318244461
"IV","2005","04","11",0.364645292926495
"V","2005","04","11",0.292426113587036
"I","2005","04","12",0.34607820194713
"IIA","2005","04","12",0.291794558715117
"IIB","2005","04","12",0.274082496122811
"III","2005","04","12",0.269380772036811
"IV","2005","04","12",0.280178944146879
"V","2005","04","12",0.21866482558098
"I","2005","04","13",0.458713737935734
"IIA","2005","04","13",0.35543632194151
"IIB","2005","04","13",0.378060577165192
"III","2005","04","13",0.337509453425975
"IV","2005","04","13",0.316891366991282
"V","2005","04","13",0.304745676086749
"I","2005","04","14",0.33016129473791
"IIA","2005","04","14",0.309313920661517
"IIB","2005","04","14",0.281381047569457
"III","2005","04","14",0.288913548611078
"IV","2005","04","14",0.287902999681488
"V","2005","04","14",0.152075054873976
"I","2005","04","15",NA
"IIA","2005","04","15",0.301242874517822
"IIB","2005","04","15",0.235087840295083
"III","2005","04","15",0.267460212325761
"IV","2005","04","15",0.265986798368659
"V","2005","04","15",0.148787049627287
"I","2005","04","16",0.355860125007137
"IIA","2005","04","16",0.331600155329617
"IIB","2005","04","16",0.297115940880594
"III","2005","04","16",0.306933638737912
"IV","2005","04","16",0.321063370967773
"V","2005","04","16",0.244406493181644
"I","2005","04","17",0.346459452247644
"IIA","2005","04","17",0.295773172929175
"IIB","2005","04","17",0.283671237807643
"III","2005","04","17",0.274663273816627
"IV","2005","04","17",0.270908144263185
"V","2005","04","17",0.218175204045479
"I","2005","04","18",0.402512402392914
"IIA","2005","04","18",0.356326268543158
"IIB","2005","04","18",0.3241007338259
"III","2005","04","18",0.33293723492204
"IV","2005","04","18",0.340715863389758
"V","2005","04","18",0.260617384015554
"I","2005","04","19",0.332180554766378
"IIA","2005","04","19",0.28137386556478
"IIB","2005","04","19",0.267236448578955
"III","2005","04","19",0.260691580631372
"IV","2005","04","19",0.264840800630592
"V","2005","04","19",0.212614746444124
"I","2005","04","20",0.429944735456428
"IIA","2005","04","20",0.371841822563706
"IIB","2005","04","20",0.346629572744615
"III","2005","04","20",0.348671359018307
"IV","2005","04","20",0.324543310935656
"V","2005","04","20",0.278669858610558
"I","2005","04","21",0.334277482222281
"IIA","2005","04","21",0.276325305255347
"IIB","2005","04","21",0.257745629973343
"III","2005","04","21",0.258243376037811
"IV","2005","04","21",0.252212429387247
"V","2005","04","21",0.195156497192242
"I","2005","04","22",0.425350583230592
"IIA","2005","04","22",0.300846386804788
"IIB","2005","04","22",0.318217112999792
"III","2005","04","22",0.288172766980168
"IV","2005","04","22",0.285034537993351
"V","2005","04","22",0.201760118162853
"I","2005","04","23",0.344740078533637
"IIA","2005","04","23",0.297763185753353
"IIB","2005","04","23",0.272394331140317
"III","2005","04","23",0.276357966296578
"IV","2005","04","23",0.277470052974735
"V","2005","04","23",0.166902779589786
"I","2005","04","24",0.337515970622349
"IIA","2005","04","24",0.281609561034642
"IIB","2005","04","24",0.271798261948175
"III","2005","04","24",0.265880322845758
"IV","2005","04","24",0.261044041548249
"V","2005","04","24",0.222119763886345
"I","2005","04","25",0.368495641449216
"IIA","2005","04","25",0.315212391680111
"IIB","2005","04","25",0.289964546189284
"III","2005","04","25",0.282069826636564
"IV","2005","04","25",0.261185561291289
"V","2005","04","25",0.0936936600243828
"I","2005","04","26",0.265354456114645
"IIA","2005","04","26",0.244916964700225
"IIB","2005","04","26",0.170617858998094
"III","2005","04","26",0.159725439864795
"IV","2005","04","26",0.203624197096659
"V","2005","04","26",0.106560188124153
"I","2005","04","27",0.149210966615794
"IIA","2005","04","27",0.207516608373218
"IIB","2005","04","27",0.16019073305945
"III","2005","04","27",0.170294008669643
"IV","2005","04","27",0.152501675670512
"V","2005","04","27",0.0519725963129479
"I","2005","04","28",0.28109878910618
"IIA","2005","04","28",0.249653884771743
"IIB","2005","04","28",0.231447055768051
"III","2005","04","28",0.232737198718579
"IV","2005","04","28",0.241412384695181
"V","2005","04","28",0.179286984876236
"I","2005","04","29",0.31804356200998
"IIA","2005","04","29",0.29398304141245
"IIB","2005","04","29",0.286883325364847
"III","2005","04","29",0.2294303463155
"IV","2005","04","29",0.259245343437204
"V","2005","04","29",0.212361145925263
"I","2005","04","30",0.307909585395984
"IIA","2005","04","30",0.269615583578493
"IIB","2005","04","30",0.245810500784902
"III","2005","04","30",0.248030096477868
"IV","2005","04","30",0.258951778586328
"V","2005","04","30",0.195852556753262
"I","2005","05","01",NA
"IIA","2005","05","01",0.27916717385975
"IIB","2005","05","01",0.264811879314235
"III","2005","05","01",0.264657309883163
"IV","2005","05","01",0.257459446329361
"V","2005","05","01",0.210843193076877
"I","2005","05","02",0.344839942351347
"IIA","2005","05","02",0.291172789530213
"IIB","2005","05","02",0.270066389312784
"III","2005","05","02",0.274327179351862
"IV","2005","05","02",0.284277695145574
"V","2005","05","02",0.218826455401416
"I","2005","05","03",0.31610871544883
"IIA","2005","05","03",0.264270323976533
"IIB","2005","05","03",0.25592565513546
"III","2005","05","03",0.248181659387737
"IV","2005","05","03",0.241144150276977
"V","2005","05","03",0.199564974784047
"I","2005","05","04",0.353733491905159
"IIA","2005","05","04",0.302548604209667
"IIB","2005","05","04",0.28600385958973
"III","2005","05","04",0.295605967433933
"IV","2005","05","04",0.30100705525278
"V","2005","05","04",0.237460693371156
"I","2005","05","05",0.315810991617286
"IIA","2005","05","05",0.250395373441823
"IIB","2005","05","05",0.241073682698198
"III","2005","05","05",0.233888090358143
"IV","2005","05","05",0.233456347668566
"V","2005","05","05",0.192935552441493
"I","2005","05","06",0.392597783274604
"IIA","2005","05","06",0.327399426490073
"IIB","2005","05","06",0.310403725772095
"III","2005","05","06",0.310014461806237
"IV","2005","05","06",0.289315153896511
"V","2005","05","06",0.251453764186781
"I","2005","05","07",0.305668362643059
"IIA","2005","05","07",0.245815648135046
"IIB","2005","05","07",0.231989718845484
"III","2005","05","07",0.230470767848358
"IV","2005","05","07",0.236377919374833
"V","2005","05","07",0.186454401129687
"I","2005","05","08",0.427083764518162
"IIA","2005","05","08",0.271402883730096
"IIB","2005","05","08",0.292191025837764
"III","2005","05","08",0.259008934493994
"IV","2005","05","08",0.25381948801092
"V","2005","05","08",0.201442315004989
"I","2005","05","09",0.247099602423165
"IIA","2005","05","09",0.264910410051711
"IIB","2005","05","09",0.239426909062611
"III","2005","05","09",0.247686266795863
"IV","2005","05","09",0.252152154592448
"V","2005","05","09",0.190641300171955
"I","2005","05","10",0.272666611178715
"IIA","2005","05","10",0.242953801588554
"IIB","2005","05","10",0.239313482187325
"III","2005","05","10",0.242386293073979
"IV","2005","05","10",0.232974149678865
"V","2005","05","10",0.187026768389747
"I","2005","05","11",0.301035664604744
"IIA","2005","05","11",0.284495409365746
"IIB","2005","05","11",0.250478605892655
"III","2005","05","11",0.264161484069701
"IV","2005","05","11",0.274174059234652
"V","2005","05","11",0.21103312430977
"I","2005","05","12",0.312045869867719
"IIA","2005","05","12",0.244279865651773
"IIB","2005","05","12",0.238391935381581
"III","2005","05","12",0.229967253254923
"IV","2005","05","12",0.224972588777189
"V","2005","05","12",0.189847105857679
"I","2005","05","13",0.365300751019949
"IIA","2005","05","13",0.298669555108353
"IIB","2005","05","13",0.284236875492896
"III","2005","05","13",0.287036018818284
"IV","2005","05","13",0.281363794110967
"V","2005","05","13",0.234190157223363
"I","2005","05","14",0.266937450844721
"IIA","2005","05","14",0.233082012752067
"IIB","2005","05","14",0.21860863692158
"III","2005","05","14",0.220126071711463
"IV","2005","05","14",0.222501735322935
"V","2005","05","14",0.182312552525199
"I","2005","05","15",0.34721900288607
"IIA","2005","05","15",0.282817397823222
"IIB","2005","05","15",0.300464752195074
"III","2005","05","15",0.270942112715186
"IV","2005","05","15",0.253891158786564
"V","2005","05","15",0.249458369277238
"I","2005","05","16",0.296008765241851
"IIA","2005","05","16",0.240811824366184
"IIB","2005","05","16",0.22657640480919
"III","2005","05","16",0.226140058026151
"IV","2005","05","16",0.201713180695877
"V","2005","05","16",0.183011536402158
"I","2005","05","17",NA
"IIA","2005","05","17",0.250352417098238
"IIB","2005","05","17",0.237064706443072
"III","2005","05","17",0.226946827712442
"IV","2005","05","17",0.20226440671439
"V","2005","05","17",0.198537195708113
"I","2005","05","18",0.315190871032693
"IIA","2005","05","18",0.260400669041764
"IIB","2005","05","18",0.239787880779805
"III","2005","05","18",0.242442447831507
"IV","2005","05","18",0.230705667261104
"V","2005","05","18",0.197738290046074
"I","2005","05","19",0.275082673189405
"IIA","2005","05","19",0.238277159722809
"IIB","2005","05","19",0.232300555969782
"III","2005","05","19",0.226688746203165
"IV","2005","05","19",0.220393047392248
"V","2005","05","19",0.189805683284086
"I","2005","05","20",0.199421069013166
"IIA","2005","05","20",0.245037040978662
"IIB","2005","05","20",0.193564960832417
"III","2005","05","20",0.203238293753556
"IV","2005","05","20",0.209592614847897
"V","2005","05","20",0.120188442458105
"I","2005","05","21",0.134272717638518
"IIA","2005","05","21",0.227604249116705
"IIB","2005","05","21",0.203562849842928
"III","2005","05","21",0.181418146099907
"IV","2005","05","21",0.181466930347028
"V","2005","05","21",0.129391186941484
"I","2005","05","22",0.189770617742914
"IIA","2005","05","22",0.281204197743961
"IIB","2005","05","22",0.215840272560753
"III","2005","05","22",0.193644109224317
"IV","2005","05","22",0.214549076896729
"V","2005","05","22",0.194563346182974
"I","2005","05","23",0.281305700221111
"IIA","2005","05","23",0.22369918855848
"IIB","2005","05","23",0.208799737673819
"III","2005","05","23",0.214786190035743
"IV","2005","05","23",0.220714598744021
"V","2005","05","23",0.177930975195358
"I","2005","05","24",0.400873788400206
"IIA","2005","05","24",0.231740396222678
"IIB","2005","05","24",0.266123151336223
"III","2005","05","24",0.238410779131567
"IV","2005","05","24",0.234384379590822
"V","2005","05","24",0.186549989449508
"I","2005","05","25",0.174265695291423
"IIA","2005","05","25",0.229013590866243
"IIB","2005","05","25",0.218313203696695
"III","2005","05","25",0.207302113250837
"IV","2005","05","25",0.195432799768453
"V","2005","05","25",0.116005205440877
"I","2005","05","26",0.236052203252378
"IIA","2005","05","26",0.231333337778712
"IIB","2005","05","26",0.212020540929526
"III","2005","05","26",0.211612651530908
"IV","2005","05","26",0.207700877349696
"V","2005","05","26",0.177882253040745
"I","2005","05","27",0.321938818170236
"IIA","2005","05","27",0.260779112990617
"IIB","2005","05","27",0.245766541438166
"III","2005","05","27",0.249152789207382
"IV","2005","05","27",0.255286281523249
"V","2005","05","27",0.203406587231783
"I","2005","05","28",0.294510169906968
"IIA","2005","05","28",0.224252153659092
"IIB","2005","05","28",0.219889754457745
"III","2005","05","28",0.212834779772557
"IV","2005","05","28",0.209752983096099
"V","2005","05","28",0.18089871669031
"I","2005","05","29",0.345354233909018
"IIA","2005","05","29",0.276293261442841
"IIB","2005","05","29",0.261956848665032
"III","2005","05","29",0.264000766682953
"IV","2005","05","29",0.258466079252178
"V","2005","05","29",0.22066474486104
"I","2005","05","30",0.281792438478664
"IIA","2005","05","30",0.214866649535771
"IIB","2005","05","30",0.208536623683762
"III","2005","05","30",0.204356209920678
"IV","2005","05","30",0.20651576416492
"V","2005","05","30",0.172086610340298
"I","2005","05","31",0.364567602448666
"IIA","2005","05","31",0.256659896448052
"IIB","2005","05","31",0.278058195808283
"III","2005","05","31",0.24927416114725
"IV","2005","05","31",0.235404249626835
"V","2005","05","31",0.215050824503316
"I","2005","06","01",0.278741679493945
"IIA","2005","06","01",0.221321004139666
"IIB","2005","06","01",0.209681187502393
"III","2005","06","01",0.210525524667835
"IV","2005","06","01",0.215927432047226
"V","2005","06","01",0.175655717602234
"I","2005","06","02",NA
"IIA","2005","06","02",0.230242028353279
"IIB","2005","06","02",0.221107600637926
"III","2005","06","02",0.219355208815726
"IV","2005","06","02",0.212732229796854
"V","2005","06","02",0.185746829209921
"I","2005","06","03",0.293974836786721
"IIA","2005","06","03",0.237416808332397
"IIB","2005","06","03",0.222925672208258
"III","2005","06","03",0.224980293761688
"IV","2005","06","03",0.229983709052539
"V","2005","06","03",0.18565240654293
"I","2005","06","04",0.285760428695108
"IIA","2005","06","04",0.21770429349025
"IIB","2005","06","04",0.214093528673034
"III","2005","06","04",0.207985770011278
"IV","2005","06","04",0.202083364716554
"V","2005","06","04",0.178907462677786
"I","2005","06","05",0.322726589627728
"IIA","2005","06","05",0.255194873712137
"IIB","2005","06","05",0.241727065982155
"III","2005","06","05",0.244026778489536
"IV","2005","06","05",0.246923507253037
"V","2005","06","05",0.201846381820615
"I","2005","06","06",0.268990721852819
"IIA","2005","06","06",0.207956793990098
"IIB","2005","06","06",0.203004523366336
"III","2005","06","06",0.198581102167209
"IV","2005","06","06",0.187054095657833
"V","2005","06","06",0.131681468876033
"I","2005","06","07",0.345143956500201
"IIA","2005","06","07",0.266333376440162
"IIB","2005","06","07",0.257723511085534
"III","2005","06","07",0.257278124636275
"IV","2005","06","07",0.242690065950329
"V","2005","06","07",0.218932743188274
"I","2005","06","08",0.268350696134095
"IIA","2005","06","08",0.207860612691355
"IIB","2005","06","08",0.199315777749735
"III","2005","06","08",0.19854426564441
"IV","2005","06","08",0.202163907636101
"V","2005","06","08",0.167985001195404
"I","2005","06","09",0.376689597680412
"IIA","2005","06","09",0.221440601942125
"IIB","2005","06","09",0.236506520581821
"III","2005","06","09",0.214843555545284
"IV","2005","06","09",0.21084795490433
"V","2005","06","09",0.169489257582884
"I","2005","06","10",0.273187620359334
"IIA","2005","06","10",0.217282710964998
"IIB","2005","06","10",0.204948962718043
"III","2005","06","10",0.208307086501695
"IV","2005","06","10",0.204511336929604
"V","2005","06","10",0.135208633624021
"I","2005","06","11",0.24679914224732
"IIA","2005","06","11",0.212318292498778
"IIB","2005","06","11",0.204876915634003
"III","2005","06","11",0.20389806867502
"IV","2005","06","11",0.184193106291658
"V","2005","06","11",0.0984817224609711
"I","2005","06","12",0.220448144624597
"IIA","2005","06","12",0.211491874992963
"IIB","2005","06","12",0.217020732883013
"III","2005","06","12",0.226738434750212
"IV","2005","06","12",0.228484212064076
"V","2005","06","12",0.176892722561996
"I","2005","06","13",0.275039706261804
"IIA","2005","06","13",0.20799237328398
"IIB","2005","06","13",0.202826106795443
"III","2005","06","13",0.198636270089758
"IV","2005","06","13",0.196182620251946
"V","2005","06","13",0.171666757303982
"I","2005","06","14",0.321698300149177
"IIA","2005","06","14",0.253945835235097
"IIB","2005","06","14",0.240123359169156
"III","2005","06","14",0.242915826380284
"IV","2005","06","14",0.235533289198123
"V","2005","06","14",0.205277548170423
"I","2005","06","15",0.260739230867166
"IIA","2005","06","15",0.199381958980528
"IIB","2005","06","15",0.192587639197126
"III","2005","06","15",0.191864993218754
"IV","2005","06","15",0.193533456166494
"V","2005","06","15",0.163208874864572
"I","2005","06","16",0.308876022821663
"IIA","2005","06","16",0.227400481827605
"IIB","2005","06","16",0.239372670466476
"III","2005","06","16",0.209479375773405
"IV","2005","06","16",0.181788498034896
"V","2005","06","16",0.106646746041274
"I","2005","06","17",0.223986938625137
"IIA","2005","06","17",0.198473642664751
"IIB","2005","06","17",0.190537840978824
"III","2005","06","17",0.190819376713269
"IV","2005","06","17",0.192836077960459
"V","2005","06","17",0.139769812655855
"I","2005","06","18",NA
"IIA","2005","06","18",0.177688483778508
"IIB","2005","06","18",0.178575608954784
"III","2005","06","18",0.19055692036099
"IV","2005","06","18",0.192502659710792
"V","2005","06","18",0.160466871957661
"I","2005","06","19",0.270315236805804
"IIA","2005","06","19",0.209756138088405
"IIB","2005","06","19",0.198075635358002
"III","2005","06","19",0.211062889012322
"IV","2005","06","19",0.216569097097967
"V","2005","06","19",0.181164862475246
"I","2005","06","20",0.270383354662499
"IIA","2005","06","20",0.203120683525977
"IIB","2005","06","20",0.198134308017992
"III","2005","06","20",0.194743714139175
"IV","2005","06","20",0.191300868671221
"V","2005","06","20",0.169046748882129
"I","2005","06","21",0.295447550991173
"IIA","2005","06","21",0.234824675284557
"IIB","2005","06","21",0.222583172032977
"III","2005","06","21",0.22730927409439
"IV","2005","06","21",0.230378717647266
"V","2005","06","21",0.185522152423733
"I","2005","06","22",0.126148043070605
"IIA","2005","06","22",0.190282254304126
"IIB","2005","06","22",0.155550537111602
"III","2005","06","22",0.171096436673663
"IV","2005","06","22",0.173730466405469
"V","2005","06","22",0.107172106078215
"I","2005","06","23",0.0767109909512334
"IIA","2005","06","23",0.137346511160793
"IIB","2005","06","23",0.124637347048207
"III","2005","06","23",0.115028810309047
"IV","2005","06","23",0.143116839208282
"V","2005","06","23",0.0816669458274226
"I","2005","06","24",0.184525870177226
"IIA","2005","06","24",0.171767182360002
"IIB","2005","06","24",0.156102178183095
"III","2005","06","24",0.167786873318401
"IV","2005","06","24",0.164811355856563
"V","2005","06","24",0.112930388514294
"I","2005","06","25",0.217629784463248
"IIA","2005","06","25",0.178797257138572
"IIB","2005","06","25",0.203889142729912
"III","2005","06","25",0.17864032641591
"IV","2005","06","25",0.163218879554378
"V","2005","06","25",0.154725731114906
"I","2005","06","26",0.246741493516461
"IIA","2005","06","26",0.193886389353996
"IIB","2005","06","26",0.191923589193057
"III","2005","06","26",0.196060307862905
"IV","2005","06","26",0.195544135229444
"V","2005","06","26",0.16454273183192
"I","2005","06","27",0.21950577385559
"IIA","2005","06","27",0.198591168010189
"IIB","2005","06","27",0.187471348218544
"III","2005","06","27",0.180127327686057
"IV","2005","06","27",0.185366341570386
"V","2005","06","27",0.169176366894117
"I","2005","06","28",0.222885733404246
"IIA","2005","06","28",0.180908200894802
"IIB","2005","06","28",0.143914464451445
"III","2005","06","28",0.152171363976527
"IV","2005","06","28",0.191878403813608
"V","2005","06","28",0.165683524287696
"I","2005","06","29",0.0836880417222568
"IIA","2005","06","29",0.190821251453989
"IIB","2005","06","29",0.146044247349856
"III","2005","06","29",0.137891249390018
"IV","2005","06","29",0.158596720454822
"V","2005","06","29",0.0967876332603822
"I","2005","06","30",0.277318182406928
"IIA","2005","06","30",0.218929874871232
"IIB","2005","06","30",0.204204568379555
"III","2005","06","30",0.219778569614258
"IV","2005","06","30",0.219894079653068
"V","2005","06","30",0.198798732160268
"I","2005","07","01",0.243403234200991
"IIA","2005","07","01",0.18950573339107
"IIB","2005","07","01",0.180476956655673
"III","2005","07","01",0.183121622911372
"IV","2005","07","01",0.186352964515464
"V","2005","07","01",0.158890503401584
"I","2005","07","02",0.252005098540849
"IIA","2005","07","02",0.222559085765987
"IIB","2005","07","02",0.23333266687465
"III","2005","07","02",0.196043688220811
