"District","Type","Year","Precipitation"
"Bulawayo","Max","2001",0.667086467
"Buhera","Max","2001",0.538469682
"Chimanimani","Max","2001",0.723458414
"Chipinge","Max","2001",0.713512786
"Makoni","Max","2001",0.647383503
"Mutare","Max","2001",0.623808594
"Mutasa","Max","2001",0.705259006
"Nyanga","Max","2001",0.660836727
"Bindura","Max","2001",0.762111445
"Guruve","Max","2001",0.735834277
"Mount Darwin","Max","2001",0.754063931
"Mazowe","Max","2001",0.812682927
"Centenary","Max","2001",0.759524814
"Rushinga","Max","2001",0.777456474
"Shamva","Max","2001",0.734275627
"Chikomba","Max","2001",0.58216147
"Goromonzi","Max","2001",0.626387566
"Marondera","Max","2001",0.638333455
"Mudzi","Max","2001",0.772006333
"Mutoko","Max","2001",0.681779742
"Murehwa","Max","2001",0.659084201
"UMP","Max","2001",0.771045768
"Seke","Max","2001",0.602317724
"Wedza","Max","2001",0.631144011
"Chirumhanzu","Max","2001",0.585528471
"Gokwe North","Max","2001",0.667280478
"Gokwe South","Max","2001",0.680193661
"Gweru","Max","2001",0.615974906
"Kwekwe","Max","2001",0.6572401
"Mberengwa","Max","2001",0.633140143
"Shurugwi","Max","2001",0.612150864
"Zvishavane","Max","2001",0.626410451
"Binga","Max","2001",0.633246047
"Bubi","Max","2001",0.662650734
"Hwange","Max","2001",0.686530659
"Lupane","Max","2001",0.626659894
"Nkayi","Max","2001",0.640421657
"Tsholotsho","Max","2001",0.640601385
"Umguza","Max","2001",0.67714267
"Beitbridge","Max","2001",0.617988591
"Bulilima (North)","Max","2001",0.591131161
"Gwanda","Max","2001",0.651108617
"Insiza","Max","2001",0.616481746
"Mangwe (South)","Max","2001",0.594676974
"Matobo","Max","2001",0.629825016
"Umzingwane","Max","2001",0.626785296
"Bikita","Max","2001",0.707670826
"Chiredzi","Max","2001",0.721823207
"Chivi","Max","2001",0.614243785
"Gutu","Max","2001",0.542138025
"Masvingo","Max","2001",0.66512797
"Mwenezi","Max","2001",0.713553683
"Zaka","Max","2001",0.678047547
"Chegutu","Max","2001",0.63499083
"Hurungwe","Max","2001",0.70695798
"Kadoma","Max","2001",0.703188765
"Kariba","Max","2001",0.672887233
"Makonde","Max","2001",0.695327628
"Zvimba","Max","2001",0.661468553
"Harare","Max","2002",0.583740324
"Bulawayo","Max","2002",0.537929174
"Buhera","Max","2002",0.482192716
"Chimanimani","Max","2002",0.715111413
"Chipinge","Max","2002",0.653778549
"Makoni","Max","2002",0.589952183
"Mutare","Max","2002",0.588574138
"Mutasa","Max","2002",0.692443292
"Nyanga","Max","2002",0.631367616
"Bindura","Max","2002",0.683668184
"Guruve","Max","2002",0.705737557
"Mount Darwin","Max","2002",0.683232936
"Mazowe","Max","2002",0.684231105
"Centenary","Max","2002",0.689611252
"Rushinga","Max","2002",0.80884268
"Shamva","Max","2002",0.700779991
"Chikomba","Max","2002",0.573794013
"Goromonzi","Max","2002",0.615785882
"Marondera","Max","2002",0.597867603
"Mudzi","Max","2002",0.66506233
"Mutoko","Max","2002",0.577701611
"Murehwa","Max","2002",0.585387452
"UMP","Max","2002",0.612117489
"Seke","Max","2002",0.588520867
"Wedza","Max","2002",0.607603723
"Chirumhanzu","Max","2002",0.569747598
"Gokwe North","Max","2002",0.604280128
"Gokwe South","Max","2002",0.578638979
"Gweru","Max","2002",0.604979695
"Kwekwe","Max","2002",0.602474136
"Mberengwa","Max","2002",0.569119255
"Shurugwi","Max","2002",0.586052588
"Zvishavane","Max","2002",0.593906629
"Binga","Max","2002",0.624752618
"Bubi","Max","2002",0.641108648
"Hwange","Max","2002",0.623258249
"Lupane","Max","2002",0.588344058
"Nkayi","Max","2002",0.59881596
"Tsholotsho","Max","2002",0.56141072
"Umguza","Max","2002",0.628437185
"Beitbridge","Max","2002",0.475478454
"Bulilima (North)","Max","2002",0.488223184
"Gwanda","Max","2002",0.543079539
"Insiza","Max","2002",0.58821077
"Mangwe (South)","Max","2002",0.525390937
"Matobo","Max","2002",0.545997063
"Umzingwane","Max","2002",0.592536962
"Bikita","Max","2002",0.644831453
"Chiredzi","Max","2002",0.647005196
"Chivi","Max","2002",0.550162953
"Gutu","Max","2002",0.533599211
"Masvingo","Max","2002",0.620380913
"Mwenezi","Max","2002",0.610955157
"Zaka","Max","2002",0.5823149
"Chegutu","Max","2002",0.604882896
"Hurungwe","Max","2002",0.713760106
"Kadoma","Max","2002",0.629690675
"Kariba","Max","2002",0.625705228
"Makonde","Max","2002",0.684512162
"Zvimba","Max","2002",0.638685106
"Harare","Max","2003",0.575136084
"Bulawayo","Max","2003",0.499033126
"Buhera","Max","2003",0.482895935
"Chimanimani","Max","2003",0.701750037
"Chipinge","Max","2003",0.675579248
"Makoni","Max","2003",0.590620641
"Mutare","Max","2003",0.592548291
"Mutasa","Max","2003",0.724006964
"Nyanga","Max","2003",0.646295096
"Bindura","Max","2003",0.700073197
"Guruve","Max","2003",0.676209271
"Mount Darwin","Max","2003",0.684245478
"Mazowe","Max","2003",0.688221279
"Centenary","Max","2003",0.654808791
"Rushinga","Max","2003",0.697944318
"Shamva","Max","2003",0.700762697
"Chikomba","Max","2003",0.543183211
"Goromonzi","Max","2003",0.61452227
"Marondera","Max","2003",0.570802308
"Mudzi","Max","2003",0.631649338
"Mutoko","Max","2003",0.603997727
"Murehwa","Max","2003",0.595706533
"UMP","Max","2003",0.62687397
"Seke","Max","2003",0.570436758
"Wedza","Max","2003",0.587281377
"Chirumhanzu","Max","2003",0.53296843
"Gokwe North","Max","2003",0.617294856
"Gokwe South","Max","2003",0.585394284
"Gweru","Max","2003",0.54271719
"Kwekwe","Max","2003",0.573489093
"Mberengwa","Max","2003",0.561805001
"Shurugwi","Max","2003",0.550985704
"Zvishavane","Max","2003",0.573049007
"Binga","Max","2003",0.605772483
"Bubi","Max","2003",0.593820069
"Hwange","Max","2003",0.559581085
"Lupane","Max","2003",0.587549422
"Nkayi","Max","2003",0.58623381
"Tsholotsho","Max","2003",0.492693171
"Umguza","Max","2003",0.575750295
"Beitbridge","Max","2003",0.456110254
"Bulilima (North)","Max","2003",0.443130714
"Gwanda","Max","2003",0.494155527
"Insiza","Max","2003",0.543605854
"Mangwe (South)","Max","2003",0.420964488
"Matobo","Max","2003",0.468077936
"Umzingwane","Max","2003",0.528039941
"Bikita","Max","2003",0.639510024
"Chiredzi","Max","2003",0.623489609
"Chivi","Max","2003",0.545313966
"Gutu","Max","2003",0.496581953
"Masvingo","Max","2003",0.598411399
"Mwenezi","Max","2003",0.603557088
"Zaka","Max","2003",0.609184353
"Chegutu","Max","2003",0.613705517
"Hurungwe","Max","2003",0.692630228
"Kadoma","Max","2003",0.633918018
"Kariba","Max","2003",0.574917045
"Makonde","Max","2003",0.6871902
"Zvimba","Max","2003",0.65617962
"Harare","Max","2004",0.650206901
"Bulawayo","Max","2004",0.624684039
"Buhera","Max","2004",0.49042656
"Chimanimani","Max","2004",0.72671469
"Chipinge","Max","2004",0.715308707
"Makoni","Max","2004",0.607296735
"Mutare","Max","2004",0.604489898
"Mutasa","Max","2004",0.709019867
"Nyanga","Max","2004",0.660237712
"Bindura","Max","2004",0.700210242
"Guruve","Max","2004",0.694138258
"Mount Darwin","Max","2004",0.699136864
"Mazowe","Max","2004",0.690628149
"Centenary","Max","2004",0.697981398
"Rushinga","Max","2004",0.73538351
"Shamva","Max","2004",0.704836834
"Chikomba","Max","2004",0.577652867
"Goromonzi","Max","2004",0.649275264
"Marondera","Max","2004",0.596820511
"Mudzi","Max","2004",0.660428339
"Mutoko","Max","2004",0.609203661
"Murehwa","Max","2004",0.622720634
"UMP","Max","2004",0.645843184
"Seke","Max","2004",0.590962245
"Wedza","Max","2004",0.621750443
"Chirumhanzu","Max","2004",0.566862955
"Gokwe North","Max","2004",0.658800265
"Gokwe South","Max","2004",0.609170427
"Gweru","Max","2004",0.585486334
"Kwekwe","Max","2004",0.637962588
"Mberengwa","Max","2004",0.622932535
"Shurugwi","Max","2004",0.593756775
"Zvishavane","Max","2004",0.62321751
"Binga","Max","2004",0.637684739
"Bubi","Max","2004",0.648374429
"Hwange","Max","2004",0.660813887
"Lupane","Max","2004",0.629180618
"Nkayi","Max","2004",0.623544874
"Tsholotsho","Max","2004",0.619648505
"Umguza","Max","2004",0.654417006
"Beitbridge","Max","2004",0.567576777
"Bulilima (North)","Max","2004",0.559475847
"Gwanda","Max","2004",0.615911558
"Insiza","Max","2004",0.597878713
"Mangwe (South)","Max","2004",0.558802493
"Matobo","Max","2004",0.572380162
"Umzingwane","Max","2004",0.612470861
"Bikita","Max","2004",0.646967983
"Chiredzi","Max","2004",0.693864142
"Chivi","Max","2004",0.591905182
"Gutu","Max","2004",0.524613003
"Masvingo","Max","2004",0.634839298
"Mwenezi","Max","2004",0.678347076
"Zaka","Max","2004",0.64495249
"Chegutu","Max","2004",0.644249886
"Hurungwe","Max","2004",0.708412074
"Kadoma","Max","2004",0.689026923
"Kariba","Max","2004",0.601839294
"Makonde","Max","2004",0.695541874
"Zvimba","Max","2004",0.665397518
"Harare","Max","2005",0.612523174
"Bulawayo","Max","2005",0.550317847
"Buhera","Max","2005",0.447529263
"Chimanimani","Max","2005",0.682094579
"Chipinge","Max","2005",0.620562541
"Makoni","Max","2005",0.575962553
"Mutare","Max","2005",0.557254108
"Mutasa","Max","2005",0.676811162
"Nyanga","Max","2005",0.649748526
"Bindura","Max","2005",0.684286734
"Guruve","Max","2005",0.681119353
"Mount Darwin","Max","2005",0.684748064
"Mazowe","Max","2005",0.689322791
"Centenary","Max","2005",0.664093017
"Rushinga","Max","2005",0.724696299
"Shamva","Max","2005",0.684494697
"Chikomba","Max","2005",0.547895426
"Goromonzi","Max","2005",0.641202182
"Marondera","Max","2005",0.587152442
"Mudzi","Max","2005",0.650498773
"Mutoko","Max","2005",0.600873431
"Murehwa","Max","2005",0.597098577
"UMP","Max","2005",0.628236306
"Seke","Max","2005",0.589013639
"Wedza","Max","2005",0.584244959
"Chirumhanzu","Max","2005",0.542755884
"Gokwe North","Max","2005",0.655506928
"Gokwe South","Max","2005",0.588160334
"Gweru","Max","2005",0.567377174
"Kwekwe","Max","2005",0.620163631
"Mberengwa","Max","2005",0.517794669
"Shurugwi","Max","2005",0.550927685
"Zvishavane","Max","2005",0.540839279
"Binga","Max","2005",0.626564617
"Bubi","Max","2005",0.653165981
"Hwange","Max","2005",0.667561201
"Lupane","Max","2005",0.619059633
"Nkayi","Max","2005",0.608494176
"Tsholotsho","Max","2005",0.600354086
"Umguza","Max","2005",0.652377876
"Beitbridge","Max","2005",0.403582591
"Bulilima (North)","Max","2005",0.530919043
"Gwanda","Max","2005",0.505769173
"Insiza","Max","2005",0.54468817
"Mangwe (South)","Max","2005",0.489624055
"Matobo","Max","2005",0.498593628
"Umzingwane","Max","2005",0.565198348
"Bikita","Max","2005",0.602571233
"Chiredzi","Max","2005",0.584183432
"Chivi","Max","2005",0.500457461
"Gutu","Max","2005",0.470104213
"Masvingo","Max","2005",0.57096854
"Mwenezi","Max","2005",0.52653867
"Zaka","Max","2005",0.53702791
"Chegutu","Max","2005",0.62119658
"Hurungwe","Max","2005",0.69952775
"Kadoma","Max","2005",0.666197992
"Kariba","Max","2005",0.5820032
"Makonde","Max","2005",0.666842121
"Zvimba","Max","2005",0.641482695
"Harare","Max","2006",0.769029915
"Bulawayo","Max","2006",0.692521912
"Buhera","Max","2006",0.518044591
"Chimanimani","Max","2006",0.736214739
"Chipinge","Max","2006",0.724566314
"Makoni","Max","2006",0.636707118
"Mutare","Max","2006",0.624433442
"Mutasa","Max","2006",0.725790901
"Nyanga","Max","2006",0.680427136
"Bindura","Max","2006",0.741699021
"Guruve","Max","2006",0.733836894
"Mount Darwin","Max","2006",0.721918036
"Mazowe","Max","2006",0.752523093
"Centenary","Max","2006",0.728206128
"Rushinga","Max","2006",0.750167332
"Shamva","Max","2006",0.746060123
"Chikomba","Max","2006",0.597402569
"Goromonzi","Max","2006",0.681120771
"Marondera","Max","2006",0.646533556
"Mudzi","Max","2006",0.704441021
"Mutoko","Max","2006",0.654588935
"Murehwa","Max","2006",0.647633816
"UMP","Max","2006",0.679055087
"Seke","Max","2006",0.64861458
"Wedza","Max","2006",0.645497138
"Chirumhanzu","Max","2006",0.606455168
"Gokwe North","Max","2006",0.712902333
"Gokwe South","Max","2006",0.658390027
"Gweru","Max","2006",0.645271826
"Kwekwe","Max","2006",0.694983058
"Mberengwa","Max","2006",0.660968013
"Shurugwi","Max","2006",0.624746216
"Zvishavane","Max","2006",0.65147163
"Binga","Max","2006",0.683099076
"Bubi","Max","2006",0.722530781
"Hwange","Max","2006",0.726507317
"Lupane","Max","2006",0.677885844
"Nkayi","Max","2006",0.682345992
"Tsholotsho","Max","2006",0.687488714
"Umguza","Max","2006",0.739615111
"Beitbridge","Max","2006",0.520528731
"Bulilima (North)","Max","2006",0.660703186
"Gwanda","Max","2006",0.613124243
"Insiza","Max","2006",0.656744927
"Mangwe (South)","Max","2006",0.603138053
"Matobo","Max","2006",0.593988579
"Umzingwane","Max","2006",0.65537491
"Bikita","Max","2006",0.688182991
"Chiredzi","Max","2006",0.669559172
"Chivi","Max","2006",0.629196809
"Gutu","Max","2006",0.55685705
"Masvingo","Max","2006",0.667261443
"Mwenezi","Max","2006",0.650055629
"Zaka","Max","2006",0.672914695
"Chegutu","Max","2006",0.690272787
"Hurungwe","Max","2006",0.747851707
"Kadoma","Max","2006",0.715452587
"Kariba","Max","2006",0.649152777
"Makonde","Max","2006",0.743215299
"Zvimba","Max","2006",0.721163452
"Harare","Max","2007",0.61833852
"Bulawayo","Max","2007",0.671236361
"Buhera","Max","2007",0.463456714
"Chimanimani","Max","2007",0.712048305
"Chipinge","Max","2007",0.663603279
"Makoni","Max","2007",0.60513168
"Mutare","Max","2007",0.589417729
"Mutasa","Max","2007",0.705214766
"Nyanga","Max","2007",0.656764089
"Bindura","Max","2007",0.719752864
"Guruve","Max","2007",0.702866796
"Mount Darwin","Max","2007",0.723905355
"Mazowe","Max","2007",0.710562178
"Centenary","Max","2007",0.714744328
"Rushinga","Max","2007",0.738789881
"Shamva","Max","2007",0.746188425
"Chikomba","Max","2007",0.559046936
"Goromonzi","Max","2007",0.659280826
"Marondera","Max","2007",0.61958221
"Mudzi","Max","2007",0.715817661
"Mutoko","Max","2007",0.619700975
"Murehwa","Max","2007",0.619456715
"UMP","Max","2007",0.737527083
"Seke","Max","2007",0.608768039
"Wedza","Max","2007",0.632504467
"Chirumhanzu","Max","2007",0.543453544
"Gokwe North","Max","2007",0.652191433
"Gokwe South","Max","2007",0.552916618
"Gweru","Max","2007",0.583157329
"Kwekwe","Max","2007",0.610920734
"Mberengwa","Max","2007",0.599585477
"Shurugwi","Max","2007",0.555871299
"Zvishavane","Max","2007",0.556951317
"Binga","Max","2007",0.637854687
"Bubi","Max","2007",0.635483204
"Hwange","Max","2007",0.635588357
"Lupane","Max","2007",0.585968892
"Nkayi","Max","2007",0.602769377
"Tsholotsho","Max","2007",0.579226889
"Umguza","Max","2007",0.654614264
"Beitbridge","Max","2007",0.56571953
"Bulilima (North)","Max","2007",0.54982742
"Gwanda","Max","2007",0.596954146
"Insiza","Max","2007",0.58536305
"Mangwe (South)","Max","2007",0.539297983
"Matobo","Max","2007",0.551443966
"Umzingwane","Max","2007",0.566452172
"Bikita","Max","2007",0.684983062
"Chiredzi","Max","2007",0.654493512
"Chivi","Max","2007",0.566654929
"Gutu","Max","2007",0.495364277
"Masvingo","Max","2007",0.601154183
"Mwenezi","Max","2007",0.649910034
"Zaka","Max","2007",0.63237654
"Chegutu","Max","2007",0.60952491
"Hurungwe","Max","2007",0.717353481
"Kadoma","Max","2007",0.629880975
"Kariba","Max","2007",0.577748988
"Makonde","Max","2007",0.708478301
"Zvimba","Max","2007",0.678513198
"Harare","Max","2008",0.656750923
"Bulawayo","Max","2008",0.626540428
"Buhera","Max","2008",0.500771702
"Chimanimani","Max","2008",0.729688537
"Chipinge","Max","2008",0.69639253
"Makoni","Max","2008",0.640834631
"Mutare","Max","2008",0.607494107
"Mutasa","Max","2008",0.71088722
"Nyanga","Max","2008",0.662392172
"Bindura","Max","2008",0.722657004
"Guruve","Max","2008",0.739038651
"Mount Darwin","Max","2008",0.733221503
"Mazowe","Max","2008",0.7693708
"Centenary","Max","2008",0.687383404
"Rushinga","Max","2008",0.836719844
"Shamva","Max","2008",0.747044492
"Chikomba","Max","2008",0.597966076
"Goromonzi","Max","2008",0.65992692
"Marondera","Max","2008",0.62729378
"Mudzi","Max","2008",0.754657471
"Mutoko","Max","2008",0.649558915
"Murehwa","Max","2008",0.646519352
"UMP","Max","2008",0.677450899
"Seke","Max","2008",0.647382499
"Wedza","Max","2008",0.619775299
"Chirumhanzu","Max","2008",0.596759621
"Gokwe North","Max","2008",0.687708861
"Gokwe South","Max","2008",0.62970636
"Gweru","Max","2008",0.608274625
"Kwekwe","Max","2008",0.652181443
"Mberengwa","Max","2008",0.606017992
"Shurugwi","Max","2008",0.591629152
"Zvishavane","Max","2008",0.607960631
"Binga","Max","2008",0.655241282
"Bubi","Max","2008",0.676930358
"Hwange","Max","2008",0.724965719
"Lupane","Max","2008",0.641942641
"Nkayi","Max","2008",0.634170775
"Tsholotsho","Max","2008",0.636003775
"Umguza","Max","2008",0.695424529
"Beitbridge","Max","2008",0.567199689
"Bulilima (North)","Max","2008",0.57101614
"Gwanda","Max","2008",0.611179758
"Insiza","Max","2008",0.630222828
"Mangwe (South)","Max","2008",0.551525772
"Matobo","Max","2008",0.597724829
"Umzingwane","Max","2008",0.622535139
"Bikita","Max","2008",0.691499929
"Chiredzi","Max","2008",0.696926259
"Chivi","Max","2008",0.579877882
"Gutu","Max","2008",0.541918648
"Masvingo","Max","2008",0.637181848
"Mwenezi","Max","2008",0.687323625
"Zaka","Max","2008",0.624275231
"Chegutu","Max","2008",0.650381753
"Hurungwe","Max","2008",0.747460703
"Kadoma","Max","2008",0.671283743
"Kariba","Max","2008",0.573020717
"Makonde","Max","2008",0.717846939
"Zvimba","Max","2008",0.678307878
"Harare","Max","2009",0.632438942
"Bulawayo","Max","2009",0.616884398
"Buhera","Max","2009",0.451386563
"Chimanimani","Max","2009",0.717578527
"Chipinge","Max","2009",0.691715573
"Makoni","Max","2009",0.622970972
"Mutare","Max","2009",0.584807138
"Mutasa","Max","2009",0.716528219
"Nyanga","Max","2009",0.673262976
"Bindura","Max","2009",0.712850228
"Guruve","Max","2009",0.721264195
"Mount Darwin","Max","2009",0.719828468
"Mazowe","Max","2009",0.714143698
"Centenary","Max","2009",0.718155507
"Rushinga","Max","2009",0.757918309
"Shamva","Max","2009",0.731835568
"Chikomba","Max","2009",0.587479322
"Goromonzi","Max","2009",0.656025747
"Marondera","Max","2009",0.625910057
"Mudzi","Max","2009",0.684180779
"Mutoko","Max","2009",0.640132868
"Murehwa","Max","2009",0.620205926
"UMP","Max","2009",0.663916658
"Seke","Max","2009",0.617347208
"Wedza","Max","2009",0.61978238
"Chirumhanzu","Max","2009",0.580870971
"Gokwe North","Max","2009",0.680122525
"Gokwe South","Max","2009",0.645531141
"Gweru","Max","2009",0.633743526
"Kwekwe","Max","2009",0.665184004
"Mberengwa","Max","2009",0.627420722
"Shurugwi","Max","2009",0.605123866
"Zvishavane","Max","2009",0.602651223
"Binga","Max","2009",0.675917653
"Bubi","Max","2009",0.692582835
"Hwange","Max","2009",0.722292256
"Lupane","Max","2009",0.643467356
"Nkayi","Max","2009",0.655963621
"Tsholotsho","Max","2009",0.659312651
"Umguza","Max","2009",0.705952795
"Beitbridge","Max","2009",0.622343127
"Bulilima (North)","Max","2009",0.601401662
"Gwanda","Max","2009",0.639190099
"Insiza","Max","2009",0.635639625
"Mangwe (South)","Max","2009",0.58361818
"Matobo","Max","2009",0.614901187
"Umzingwane","Max","2009",0.651165932
"Bikita","Max","2009",0.614449814
"Chiredzi","Max","2009",0.675134339
"Chivi","Max","2009",0.595242407
"Gutu","Max","2009",0.528436965
"Masvingo","Max","2009",0.640451499
"Mwenezi","Max","2009",0.679687127
"Zaka","Max","2009",0.640103051
"Chegutu","Max","2009",0.657849251
"Hurungwe","Max","2009",0.757739368
"Kadoma","Max","2009",0.685199643
"Kariba","Max","2009",0.620822207
"Makonde","Max","2009",0.726548312
"Zvimba","Max","2009",0.691893369
"Harare","Max","2010",0.618116736
"Bulawayo","Max","2010",0.567910817
"Buhera","Max","2010",0.476033966
"Chimanimani","Max","2010",0.708046882
"Chipinge","Max","2010",0.672820383
"Makoni","Max","2010",0.615575506
"Mutare","Max","2010",0.596409489
"Mutasa","Max","2010",0.709773887
"Nyanga","Max","2010",0.664324077
"Bindura","Max","2010",0.736929538
"Guruve","Max","2010",0.743456036
"Mount Darwin","Max","2010",0.713079125
"Mazowe","Max","2010",0.732652104
"Centenary","Max","2010",0.725158342
"Rushinga","Max","2010",0.779443006
"Shamva","Max","2010",0.734692324
"Chikomba","Max","2010",0.573894072
"Goromonzi","Max","2010",0.664248269
"Marondera","Max","2010",0.599207495
"Mudzi","Max","2010",0.699593588
"Mutoko","Max","2010",0.638455903
"Murehwa","Max","2010",0.614852136
"UMP","Max","2010",0.680963714
"Seke","Max","2010",0.597418203
"Wedza","Max","2010",0.62004037
"Chirumhanzu","Max","2010",0.55813363
"Gokwe North","Max","2010",0.674044074
"Gokwe South","Max","2010",0.644548573
"Gweru","Max","2010",0.582671636
"Kwekwe","Max","2010",0.641914923
"Mberengwa","Max","2010",0.608379009
"Shurugwi","Max","2010",0.594701579
"Zvishavane","Max","2010",0.59062883
"Binga","Max","2010",0.658927859
"Bubi","Max","2010",0.64790746
"Hwange","Max","2010",0.664039264
"Lupane","Max","2010",0.63828776
"Nkayi","Max","2010",0.637709703
"Tsholotsho","Max","2010",0.621229849
"Umguza","Max","2010",0.65748855
"Beitbridge","Max","2010",0.492534443
"Bulilima (North)","Max","2010",0.528754072
"Gwanda","Max","2010",0.544715267
"Insiza","Max","2010",0.583189838
"Mangwe (South)","Max","2010",0.515733625
"Matobo","Max","2010",0.527916051
"Umzingwane","Max","2010",0.605540717
"Bikita","Max","2010",0.573157355
"Chiredzi","Max","2010",0.64245864
"Chivi","Max","2010",0.569396583
"Gutu","Max","2010",0.521893146
"Masvingo","Max","2010",0.63027377
"Mwenezi","Max","2010",0.644193562
"Zaka","Max","2010",0.624452079
"Chegutu","Max","2010",0.627322224
"Hurungwe","Max","2010",0.726015137
"Kadoma","Max","2010",0.665344692
"Kariba","Max","2010",0.640464139
"Makonde","Max","2010",0.713136881
"Zvimba","Max","2010",0.684283446
"Harare","Max","2011",0.636783586
"Bulawayo","Max","2011",0.643026388
"Buhera","Max","2011",0.471068259
"Chimanimani","Max","2011",0.733876558
"Chipinge","Max","2011",0.698836012
"Makoni","Max","2011",0.641649178
"Mutare","Max","2011",0.597542348
"Mutasa","Max","2011",0.724523223
"Nyanga","Max","2011",0.694270368
"Bindura","Max","2011",0.738495577
"Guruve","Max","2011",0.739724084
"Mount Darwin","Max","2011",0.717446163
"Mazowe","Max","2011",0.732527274
"Centenary","Max","2011",0.728635551
"Rushinga","Max","2011",0.75620294
"Shamva","Max","2011",0.7453478
"Chikomba","Max","2011",0.609082337
"Goromonzi","Max","2011",0.68084532
"Marondera","Max","2011",0.640413399
"Mudzi","Max","2011",0.700305767
"Mutoko","Max","2011",0.660452551
"Murehwa","Max","2011",0.648337834
"UMP","Max","2011",0.676697311
"Seke","Max","2011",0.647818932
"Wedza","Max","2011",0.635591875
"Chirumhanzu","Max","2011",0.598476383
"Gokwe North","Max","2011",0.703100521
"Gokwe South","Max","2011",0.637789035
"Gweru","Max","2011",0.622491954
"Kwekwe","Max","2011",0.664112814
"Mberengwa","Max","2011",0.627376336
"Shurugwi","Max","2011",0.604950017
"Zvishavane","Max","2011",0.601691596
"Binga","Max","2011",0.680642254
"Bubi","Max","2011",0.677524261
"Hwange","Max","2011",0.691824877
"Lupane","Max","2011",0.650705941
"Nkayi","Max","2011",0.658360231
"Tsholotsho","Max","2011",0.607308507
"Umguza","Max","2011",0.695096949
"Beitbridge","Max","2011",0.571133447
"Bulilima (North)","Max","2011",0.551828456
"Gwanda","Max","2011",0.632194232
"Insiza","Max","2011",0.630628542
"Mangwe (South)","Max","2011",0.585883016
"Matobo","Max","2011",0.609030509
"Umzingwane","Max","2011",0.645392468
"Bikita","Max","2011",0.645394813
"Chiredzi","Max","2011",0.656114452
"Chivi","Max","2011",0.603260464
"Gutu","Max","2011",0.536704263
"Masvingo","Max","2011",0.63679096
"Mwenezi","Max","2011",0.653923693
"Zaka","Max","2011",0.632795592
"Chegutu","Max","2011",0.65427646
"Hurungwe","Max","2011",0.767566801
"Kadoma","Max","2011",0.681365184
"Kariba","Max","2011",0.644187243
"Makonde","Max","2011",0.735200896
"Zvimba","Max","2011",0.704353693
"Harare","Max","2012",0.601312574
"Bulawayo","Max","2012",0.522844662
"Buhera","Max","2012",0.43056845
"Chimanimani","Max","2012",0.700609234
"Chipinge","Max","2012",0.598145629
"Makoni","Max","2012",0.597387777
"Mutare","Max","2012",0.547564903
"Mutasa","Max","2012",0.693448936
"Nyanga","Max","2012",0.657952327
"Bindura","Max","2012",0.730681543
"Guruve","Max","2012",0.690497987
"Mount Darwin","Max","2012",0.696572368
"Mazowe","Max","2012",0.71592708
"Centenary","Max","2012",0.694870254
"Rushinga","Max","2012",0.720601388
"Shamva","Max","2012",0.731807293
"Chikomba","Max","2012",0.564786008
